trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,26,0.5,16.0,115.54593040000327,116.04565639999782,116.04565639999782,116.04565639999782,,right,16.0,0,0,0.11671049999858951,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,27,0.5,16.5,116.17863159999979,116.67840759999672,116.67840759999672,116.67840759999672,,left,-16.5,1,1,0.1420466999989003,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,28,0.5,16.5,116.84479170000122,117.34441610000067,117.34441610000067,117.34441610000067,,left,-16.5,1,1,0.05187679999653483,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,29,0.5,16.5,117.4274912999972,117.9271579999986,117.9271579999986,117.9271579999986,,left,-16.5,1,1,0.021782900003017858,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,30,0.5,16.0,117.97692809999717,118.4766673999984,118.4766673999984,118.4766673999984,,left,-16.0,1,1,0.14138649999949848,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,31,0.5,16.0,118.64308310000342,119.1426455999972,119.1426455999972,119.1426455999972,,right,16.0,0,0,0.004150399996433407,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,32,0.5,16.5,119.17581290000089,119.67583300000115,119.67583300000115,119.67583300000115,,left,-16.5,1,1,0.25847609999618726,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,33,0.5,16.5,119.95856240000285,120.45810299999721,120.45810299999721,120.45810299999721,,left,-16.5,1,1,0.1694359999964945,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,34,0.5,16.5,120.6577787999995,121.15754059999745,121.15754059999745,121.15754059999745,,left,-16.5,1,1,0.07819870000093943,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,35,0.5,16.0,121.2572508000012,121.75691060000099,121.75691060000099,121.75691060000099,,left,-16.0,1,1,0.056348300000536256,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
